f_id,text,q_id,m_id,short_text
CVF-F76,Children and teenagers should not receive the COVID-19 vaccine because it is experimental and no efficacy or safety data for the vaccines exist.,Q14,32,Children and teenagers should not receive the COVID-19 vaccine because it is experimental and no efficacy or safety data for the vaccines exist. 
CVF-F83,Moral exemption from an experimental vaccine with possible side effects worse than the effects of COVID-19 infection.,Q15,33,Moral exemption from an experimental vaccine with possible side effects worse than the effects of COVID-19 infection.  
CVF-F98,"Because the chances of survival if infected with COVID-19 are 99.99%, people should have the right to decide whether to vaccinate.",Q16,34,"Because the chances of survival if infected with COVID-19 are 99.99%, people should have the right to decide whether to vaccinate.   "
CVF-F100,People should be free to choose against COVID-19 vaccination because an effective vaccine will protect you from Covid whether the people around you are vaccinated or not.,Q16,35,"People should be free to choose against COVID-19 vaccination because the vaccine does not protect against COVID-19, regardless of the fact that those around you are vaccinated or not "
CVF-F109,Governments hide vaccine safety information by lying about vaccine injury rates and pretending they have COVID under control.,Q18,36,Governments hide vaccine safety information. 
CVF-F110,The Federal government lied about the COVID-19 vaccines to reduce the information about effective treatments.,Q18,37,The Federal government lied about the COVID-19 vaccines to reduce the information about effective treatments. 
CVF-F112,Pharmaceutical companies conceal information about COVID-19 breakthroughs or reinfections.,Q19,38,Pharmaceutical companies conceal information about COVID-19 breakthroughs or reinfections 
CVL-4,The COVID-19 vaccine causes Bell's palsy.,,39,The COVID-19 vaccine causes Bell's palsy.
CVL-5,The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,,40,The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.
CVL-7,The COVID-19 vaccine contains tissue from aborted fetuses.,,41,The COVID-19 vaccine contains tissue from aborted fetuses.
CVL-9,More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,,42,More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.
CVL-10,"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",,43,"There are severe side effects of the COVID-19 vaccines, worse than having the virus."
CVL-12,The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,,44,The COVID-19 vaccine can cause COVID-19 because it contains the live virus.
CVL-14,The COVID-19 vaccine can increase risk for other illnesses.,,45,The COVID-19 vaccine can increase risk for other illnesses.
CVL-15,Many people already have died from the COVID-19 vaccine trials.,,46,Many people already have died from the COVID-19 vaccine trials.
CVL-16,The COVID-19 vaccine can cause autism.,,47,The COVID-19 vaccine can cause autism.
CVL-17,The COVID-19 vaccine should not be taken by people who are allergic to eggs.,,48,The COVID-19 vaccine should not be taken by people who are allergic to eggs.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
